,HS10_min,HS10_mean,HS10_max,HS20_min,HS20_mean,HS20_max,HS30_min,HS30_mean,HS30_max,HS40_min,HS40_mean,HS40_max,HS50_min,HS50_mean,HS50_max,HS60_min,HS60_mean,HS60_max,TS30_min,TS30_mean,TS30_max,id_nodo,MNDT,MXDT,MCD,CMNDT,CMXDT,litros_diarios,TA_mean,TA_max,TA_min,HA_mean,HA_max,HA_min,radiacion,precipitacion,eto,fase
2021-04-09,0.8122,0.8196436090225564,0.8259,0.7743,0.7783293233082706,0.7822,0.733,0.737045112781955,0.7426,0.7074,0.7138796992481203,0.7215,0.8146,0.8165105263157895,0.8191,0.7891,0.7904421052631578,0.7921,14.6,15.022556390977444,15.4,4,37.49,37.495,0.0049999999999954525,,,1.1999999999999957,12.24,17.13,9.29,0.8170000000000001,0.9570000000000001,0.6089,11.05,1.02,1.92,1
2021-04-10,0.8168,0.8232824999999999,0.8289,0.7763,0.7815016666666667,0.7875,0.7327,0.7341308333333333,0.736,0.7049,0.7064916666666666,0.7077,0.8132,0.8138241666666667,0.8146,0.7875,0.7882791666666666,0.7893,15.0,15.091666666666667,15.2,4,37.4925,37.5175,0.02499999999999858,0.0024999999999977263,0.022500000000000853,1.3999999999999986,12.45,15.77,10.31,0.9259999999999999,0.98,0.821,4.84,2.64,1.07,1
2021-04-11,0.8234,0.8305096,0.8381,0.782,0.7870528,0.7932,0.7358,0.7427808,0.7599,0.7051,0.7092856000000001,0.714,0.813,0.8138048,0.8153,0.787,0.787972,0.7893,15.2,15.5232,16.4,4,37.515,37.5225,0.007500000000000284,0.022500000000000853,0.005000000000002558,17.200000000000003,15.89,24.16,11.88,0.7909999999999999,0.9790000000000001,0.38159999999999994,22.14,1.42,3.59,1
2021-04-12,0.8267,0.8310147826086957,0.8368,0.7852,0.7899747826086956,0.7971,0.744,0.7491939130434783,0.7646,0.7138,0.7172808695652174,0.7229,0.8151,0.816704347826087,0.8184,0.7886,0.7893852173913043,0.7907,16.2,16.30086956521739,16.4,4,37.5225,37.555,0.03249999999999886,0.007500000000000284,0.03249999999999886,16.19999999999999,13.49,17.2,10.64,0.8220000000000001,0.966,0.5412,10.79,0.0,2.03,1
2021-04-13,0.8114,0.820544927536232,0.8269,0.7778,0.7827492753623189,0.7889,0.7351,0.741159420289855,0.7485,0.7088,0.7138623188405797,0.7194,0.8163,0.8174231884057971,0.8184,0.7898,0.7902739130434783,0.7907,16.0,16.12608695652174,16.2,4,37.5375,37.54,0.0024999999999977263,0.015000000000000568,-0.015000000000000568,0.0,13.92,18.03,11.17,0.757,0.9359999999999999,0.5436,15.3,0.0,2.55,1
2021-04-14,0.8066,0.8190204379562044,0.8307,0.7733,0.7850693430656934,0.8031,0.732,0.7433306569343066,0.7618,0.7067,0.7096591240875912,0.7124,0.8156,0.816129197080292,0.8165,0.7893,0.7897284671532847,0.7902,15.6,16.04963503649635,16.2,4,37.5375,37.54,0.0024999999999977263,0.0,0.0,26.60000000000001,13.1,17.23,10.18,0.7759999999999999,0.972,0.5357,12.09,0.81,2.22,1
2021-04-15,0.8135,0.8198398496240602,0.8279,0.7785,0.7824075187969924,0.7879,0.7358,0.7404992481203008,0.7461,0.706,0.7088135338345865,0.711,0.8146,0.8156736842105263,0.8165,0.7888,0.789606015037594,0.79,15.4,15.654135338345865,16.0,4,37.54,37.5425,0.0024999999999977263,0.0024999999999977263,0.0024999999999977263,0.0,10.67,13.41,8.47,0.9,0.9840000000000001,0.6377,3.54,13.4,1.08,1
2021-04-16,0.8168,0.8210590163934427,0.8257,0.7768,0.7799934426229508,0.7879,0.726,0.7302926229508196,0.7358,0.6974,0.7015991803278688,0.706,0.8139,0.8145327868852459,0.8151,0.7888,0.7894893442622951,0.7905,14.6,14.94590163934426,15.4,4,37.5325,37.5425,0.00999999999999801,-0.007500000000000284,0.0,0.0,11.09,19.2,4.87,0.748,0.9740000000000001,0.34049999999999997,22.47,4.67,3.32,1
2021-04-17,0.8175,0.8236594202898552,0.8284,0.7728,0.7752920289855073,0.7773,0.721,0.7244833333333334,0.7278,0.6969,0.6989536231884058,0.7002,0.8139,0.8152746376811595,0.8167,0.7891,0.7902688405797101,0.7916,14.6,15.004347826086956,15.4,4,37.5325,37.5375,0.005000000000002558,0.0,-0.0049999999999954525,29.799999999999997,10.49,17.48,3.59,0.767,0.968,0.4334,21.68,0.0,3.04,1
2021-04-18,0.8082,0.8158978260869566,0.8211,0.7714,0.7730355072463768,0.776,0.7196,0.7215036231884058,0.7231,0.6971,0.6995471014492753,0.7016,0.8153,0.8160768115942029,0.8167,0.7902,0.7907471014492753,0.7912,15.0,15.215942028985506,15.6,4,37.535,37.535,0.0,0.0024999999999977263,-0.0025000000000048317,0.0,12.71,17.03,9.11,0.772,0.95,0.5589,20.41,0.0,2.95,1
